S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,
4.4444444444444447E-4,4.4444444444444447E-4,4.4444444444444447E-4,0.16044444444444445,0.00488888888888889,4.4444444444444447E-4,4.4444444444444447E-4,0.8093333333333333,0.022666666666666665,4.4444444444444447E-4,0.03796791443850267,0.02192513368983957,0.03262032085561497,5.347593582887701E-4,5.347593582887701E-4,5.347593582887701E-4,0.059358288770053474,5.347593582887701E-4,5.347593582887701E-4,0.8454545454545455,
3.90625E-4,3.90625E-4,3.90625E-4,0.148828125,3.90625E-4,3.90625E-4,3.90625E-4,0.820703125,0.027734375,3.90625E-4,0.03207547169811321,0.038364779874213835,0.07610062893081761,6.28930817610063E-4,6.28930817610063E-4,6.28930817610063E-4,6.28930817610063E-4,6.28930817610063E-4,0.006918238993710692,0.8433962264150943,
0.02530864197530864,6.172839506172839E-4,6.172839506172839E-4,0.2660493827160494,6.172839506172839E-4,0.019135802469135803,6.172839506172839E-4,0.6858024691358025,6.172839506172839E-4,6.172839506172839E-4,4.7393364928909954E-4,0.01943127962085308,4.7393364928909954E-4,4.7393364928909954E-4,4.7393364928909954E-4,0.01943127962085308,4.7393364928909954E-4,4.7393364928909954E-4,4.7393364928909954E-4,0.9578199052132701,
7.692307692307692E-4,7.692307692307692E-4,7.692307692307692E-4,0.07769230769230769,7.692307692307692E-4,7.692307692307692E-4,7.692307692307692E-4,0.9161538461538461,7.692307692307692E-4,7.692307692307692E-4,0.023976608187134502,0.10584795321637427,5.847953216374269E-4,5.847953216374269E-4,5.847953216374269E-4,0.012280701754385965,0.07076023391812865,5.847953216374269E-4,5.847953216374269E-4,0.7842105263157895,
0.041803278688524584,8.19672131147541E-4,0.02540983606557377,0.2959016393442623,8.19672131147541E-4,8.19672131147541E-4,8.19672131147541E-4,0.631967213114754,8.19672131147541E-4,8.19672131147541E-4,3.1055900621118014E-4,0.025155279503105588,0.0034161490683229817,3.1055900621118014E-4,3.1055900621118014E-4,0.08416149068322981,0.006521739130434783,3.1055900621118014E-4,0.0034161490683229817,0.8760869565217392,
0.006470588235294119,0.02411764705882353,5.882352941176471E-4,0.10058823529411766,5.882352941176471E-4,0.012352941176470589,5.882352941176471E-4,0.8476470588235294,5.882352941176471E-4,0.006470588235294119,0.025630252100840335,4.201680672268908E-4,0.013025210084033614,4.201680672268908E-4,4.201680672268908E-4,4.201680672268908E-4,0.004621848739495798,4.201680672268908E-4,4.201680672268908E-4,0.9542016806722688,
0.04017094017094017,2.8490028490028494E-4,0.01168091168091168,0.04301994301994302,0.023076923076923075,0.023076923076923075,2.8490028490028494E-4,0.8492877492877493,2.8490028490028494E-4,0.008831908831908833,0.10052631578947369,0.01105263157894737,5.263157894736842E-4,5.263157894736842E-4,0.005789473684210527,0.01631578947368421,0.053157894736842105,0.02157894736842105,5.263157894736842E-4,0.7899999999999999,
0.03238434163701068,0.01103202846975089,3.5587188612099647E-4,0.11779359430604983,3.5587188612099647E-4,3.5587188612099647E-4,3.5587188612099647E-4,0.8330960854092526,3.5587188612099647E-4,0.003914590747330961,0.18689655172413794,6.896551724137932E-4,6.896551724137932E-4,6.896551724137932E-4,6.896551724137932E-4,6.896551724137932E-4,0.014482758620689656,6.896551724137932E-4,6.896551724137932E-4,0.7937931034482758,
0.01624203821656051,3.1847133757961787E-4,0.028980891719745223,0.2710191082802548,3.1847133757961787E-4,3.1847133757961787E-4,3.1847133757961787E-4,0.6754777070063694,0.006687898089171975,3.1847133757961787E-4,5.813953488372093E-4,5.813953488372093E-4,5.813953488372093E-4,5.813953488372093E-4,0.006395348837209303,0.006395348837209303,5.813953488372093E-4,5.813953488372093E-4,0.04127906976744186,0.9424418604651162,
0.007971014492753625,7.246376811594203E-4,7.246376811594203E-4,0.1673913043478261,0.015217391304347827,0.007971014492753625,0.04420289855072464,0.7543478260869565,7.246376811594203E-4,7.246376811594203E-4,2.4813895781637717E-4,0.01761786600496278,2.4813895781637717E-4,0.0027295285359801493,0.0027295285359801493,0.005210918114143921,0.03995037220843673,0.0027295285359801493,0.007692307692307693,0.9208436724565757,
