User,Movie,Score,T0,T1,T2,T3,T4,T5,T6,U
028700/,tt3774114,10,"-0,1125541126","-0,0519480519","0,5541125541","-0,1125541126","-0,0519480519","-0,1125541126","-0,1125541126",3
028700/,tt3882082,3,"-0,2457002457","-0,0638820639","0,6928746929","-0,0638820639","-0,0638820639","-0,2457002457","-0,0098280098",3
028700/,tt3960412,9,"-0,0902255639","0,0050125313","0,6365914787","0,0050125313","0,0050125313","0,0050125313","-0,5664160401",3
028700/,tt4052882,8,"-0,2695035461","-0,0898345154","0,5910165485","-0,0898345154","-0,0898345154","-0,0898345154","0,0378250591",3
028700/,tt4094724,5,"-0,2441558442","-0,0623376623","0,2805194805","-0,0623376623","-0,0623376623","0,0987012987","0,0519480519",3
028700/,tt4139124,7,"-0,2441558442","-0,0623376623","0,7376623377","-0,0623376623","-0,0623376623","-0,2441558442","-0,0623376623",3
028700/,tt4383594,2,"-0,1256366723","-0,0203735144","0,6893039049","-0,0203735144","-0,0203735144","-0,5466893039","0,0441426146",3
028700/,tt4438848,6,"-0,2021978022","-0,0483516484","0,4835164835","-0,0483516484","-0,0483516484","-0,2021978022","0,0659340659",3
028700/,tt4520364,9,"-0,2441558442","-0,0623376623","0,6805194805","-0,0623376623","-0,0623376623","-0,2441558442","-0,0051948052",3
028700/,tt4651520,2,"0,0124223602","0,0041407867","0,2898550725","0,0041407867","0,0041407867","-0,5175983437","0,2028985507",3
028700/,tt4786282,9,"-0,1985111663","-0,0446650124","0,729528536","-0,0446650124","-0,0446650124","-0,0446650124","-0,3523573201",3
032965/,tt3922798,6,"0,0105820106","0,0105820106","0,4126984127","0,0105820106","0,1058201058","-0,6560846561","0,1058201058",4
03729/,tt1878870,9,"-0,0759837178","0,1628222524","0,0434192673","-0,0759837178","-0,2279511533","-0,2578018996","0,4314789688",5
03729/,tt2387499,6,"-0,0584795322","-0,2807017544","0,1520467836","-0,0584795322","-0,0584795322","-0,0584795322","0,3625730994",5
03729/,tt2461150,5,"-0,0547008547","-0,0547008547","0,3897435897","-0,0547008547","-0,1196581197","-0,3179487179","0,211965812",5
03729/,tt2674426,7,"-0,1232492997","-0,1232492997","0,1904761905","-0,1232492997","0,1512605042","-0,1232492997","0,1512605042",5
03729/,tt2869728,6,"-0,0243407708","-0,0243407708","0,5273833671","-0,0243407708","-0,0243407708","-0,6125760649","0,1825557809",5
03729/,tt2937696,7,"-0,0816326531",0,"0,4489795918","-0,0816326531","-0,0408163265","-0,1224489796","-0,1224489796",5
03729/,tt3495026,9,"-0,0759837178","-0,0461329715","-0,0759837178","-0,0759837178","0,4911804613","-0,4396200814","0,2225237449",5
03729/,tt3647498,9,"-0,0766283525","-0,0766283525","0,5440613027","-0,0766283525","-0,0766283525","-0,2298850575","-0,0076628352",5
03729/,tt4169250,5,"-0,0484848485","-0,0121212121","0,0242424242","-0,0484848485","0,096969697","-0,1818181818","0,1696969697",5
03729/,tt4276820,7,"-0,0184453228","-0,2582345191","0,1844532279","-0,04743083","-0,04743083","-0,2582345191","0,4453227931",5
03729/,tt4387040,5,"-0,0484848485","-0,0121212121","-0,0363636364","-0,0484848485","0,2787878788","-0,4484848485","0,3151515152",5
03729/,tt4434004,7,"-0,0464778504","-0,0464778504","0,0769789397","-0,0464778504","0,4967320261","-0,6347131445","0,2004357298",5
03729/,tt4501244,6,"0,0078431373","-0,0366013072","0,2300653595","-0,1098039216","0,0078431373","-0,5071895425","0,4078431373",5
03729/,tt4559006,7,"-0,0785634119","-0,0785634119","-0,0785634119","-0,0785634119","0,5387205387","-0,4421997755","0,2177328844",5
03729/,tt4680182,7,"-0,0733652313","-0,0733652313","0,1722488038","-0,0733652313","-0,0031897927","-0,4370015949","0,4880382775",5
03729/,tt4769836,6,"-0,0483516484","-0,0483516484","0,0087912088","-0,0483516484","0,0659340659","-0,2021978022","0,2725274725",5
03729/,tt4832640,7,"-0,1327561328","-0,1327561328","-0,0317460317","-0,1327561328","0,3722943723","-0,1327561328","0,1904761905",5
03729/,tt4853102,4,"-0,067653277","-0,067653277","-0,067653277","-0,067653277","-0,067653277","-0,4312896406","0,7695560254",5
03729/,tt4900716,9,"-0,0619977038","-0,0619977038","-0,0022962113","-0,0619977038","0,4454649828","-0,5235361653","0,2663605052",5
03729/,tt5074352,7,"-0,0670220868","-0,0472201066","0,111195735","-0,0670220868","0,3488194973","-0,5285605484","0,2498095963",5
03729/,tt5165344,4,"-0,0153609831","0,0491551459","-0,0430107527","-0,0153609831","0,242703533","-0,3963133641","0,178187404",5
03729/,tt5247022,10,"-0,1259079903","-0,1259079903","-0,0581113801","-0,1259079903","-0,0581113801","-0,1259079903","0,6198547215",5
03729/,tt5286444,6,"-0,1239892183","-0,1239892183","-0,1239892183","-0,1239892183","0,4797843666","-0,1239892183","0,1401617251",5
03729/,tt5571734,7,"-0,0540084388","-0,0540084388","0,0725738397","-0,1873417722","0,376371308","-0,4540084388","0,3004219409",5
05474/,tt2106651,7,"-0,04743083","-0,04743083","-0,04743083","-0,2292490119","-0,04743083","-0,2292490119","0,6482213439",6
055365/,tt2452386,8,"-0,0076628352","-0,0766283525","0,1992337165","-0,0766283525","-0,0766283525","-0,2988505747","0,337164751",7
055365/,tt4776998,8,"-0,0766283525","-0,0766283525","0,4750957854","-0,0766283525","-0,0766283525","-0,2988505747","0,1302681992",7
06494/,tt1212428,8,"-0,0344332855","-0,0344332855","0,599713056","-0,1520803443","-0,0344332855","-0,5050215208","0,1606886657",8
06494/,tt1355631,6,"-0,0888888889","-0,0888888889","0,6666666667","-0,3111111111","-0,0888888889","-0,0888888889",0,8
06494/,tt1620935,6,"0,0293040293","-0,0659340659","0,1831501832","-0,1172161172","-0,021978022","-0,4981684982","0,4908424908",8
06494/,tt1800302,6,"-0,0223776224","-0,0587412587","0,6237762238","-0,3664335664","-0,0587412587","-0,0587412587","-0,0587412587",8
06494/,tt2387499,6,"0,0371267151","-0,0306698951","0,5117029863","-0,1259079903","-0,0306698951","-0,6020984665","0,2405165456",8
06494/,tt2513074,6,"0,0680272109","-0,0272108844","0,462585034","-0,1224489796","-0,0272108844","-0,5986394558","0,2448979592",8
06494/,tt2547584,5,"-0,053667263","-0,053667263","0,6440071556","-0,3613595707","-0,053667263","-0,2075134168","0,0858676208",8
06494/,tt2674426,5,"-0,0587412587","-0,0587412587","0,2965034965","-0,2125874126","-0,0587412587","-0,2125874126","0,3048951049",8
06494/,tt2937696,8,"-0,0156097561","0,0331707317","0,6185365854","-0,0956097561","-0,0156097561","-0,6556097561","0,1307317073",8
06494/,tt3068194,8,"-0,021978022","-0,021978022","0,3882783883","-0,5934065934","-0,1172161172","-0,021978022","0,3882783883",8
06494/,tt3544112,8,"-0,0265654649","-0,1442125237","0,3074003795","-0,1442125237","-0,0265654649","-0,2618595825","0,2960151803",8
06494/,tt3721936,7,"-0,0556464812","-0,0556464812","0,5826513912","-0,209492635","-0,0556464812","-0,3633387889","0,1571194763",8
06494/,tt4048272,8,"0,082815735","-0,0041407867","0,3436853002","-0,099378882","-0,099378882","-0,4803312629","0,2567287785",8
06494/,tt4158096,7,"0,0255516841","-0,118466899","0,6596980256","-0,118466899","-0,0232288037","-0,4994192799","0,0743321719",8
06494/,tt4190530,6,"-0,0907029478","-0,0498866213","0,5623582766","-0,3129251701","-0,0907029478","-0,0907029478","0,0725623583",8
06494/,tt4196450,7,0,"-0,0392156863","0,5490196078","-0,3921568627","-0,0392156863","-0,2745098039","0,1960784314",8
06494/,tt4326444,8,"-0,091503268","-0,091503268","0,5359477124","-0,3137254902","-0,091503268","-0,091503268","0,1437908497",8
06494/,tt4540710,7,"-0,0623376623","-0,0623376623","0,6233766234","-0,2441558442","-0,0623376623","-0,2441558442","0,0519480519",8
06494/,tt4572514,6,"-0,0331825038","-0,0331825038","0,479638009","-0,1508295626","-0,0331825038","-0,5037707391","0,2745098039",8
06494/,tt4714782,7,"0,0058651026","-0,0586510264","0,5219941349","-0,2404692082","-0,2404692082","-0,0586510264","0,0703812317",8
06494/,tt4776998,7,"-0,0705009276","-0,0705009276","0,400742115","-0,2523191095","-0,0705009276","-0,0705009276","0,133580705",8
06494/,tt5186714,8,"-0,066518847","-0,066518847","0,421286031","-0,2483370288","-0,066518847","-0,2483370288","0,2749445676",8
